date_of_contract,municipality_name,zone_name,real_estate_type,area_in_square_meters,price_per_square_foot
2024-05-30,Doha,Fereej Bin Mahmoud 23,Vacant Land,1894,1108.0
2024-05-30,Doha,New Al Hitmi,Residence,471,345.0
2024-05-30,Doha,The Pearl Island,Residential Unit,343,1876.02
2024-05-30,Doha,Al Kharayej,Residential Unit,104,929.03
2024-05-30,Doha,The Pearl Island,Residential Unit,128,1100.64
2024-05-30,Doha,The Pearl Island,Residential Unit,331,1902.09
2024-05-29,Doha,Al Thumama 50,Vacant Land,1040,232.0
2024-05-29,Doha,Nuaija 41,Residence,1856,651.0
2024-05-29,Doha,Al Thumama 50,Vacant Land,562,231.0
2024-05-29,Doha,Duhail,Residence,990,422.0
2024-05-29,Doha,Legtaifiya,Residential Unit,136,1035.73
2024-05-29,Doha,The Pearl Island,Residential Unit,74,1746.06
2024-05-29,Doha,Al Thumama 50,Vacant Land,568,231.0
2024-05-29,Doha,Fereej Bin Omran,Residence,163,627.0
2024-05-29,Doha,Al Thumama 50,Vacant Land,1039,232.0
2024-05-29,Doha,Al Thumama 50,Vacant Land,666,328.0
2024-05-29,Doha,Al Thumama 50,Vacant Land,577,231.0
2024-05-29,Doha,Al Thumama 47,Vacant Land,3591,350.0
2024-05-29,Doha,Dahl Al Hamam,Vacant Land,679,353.0
2024-05-29,Doha,Umm Ghuwailina,Residence,219,817.0
2024-05-29,Doha,The Pearl Island,Residential Unit,148,1250.71
2024-05-28,Doha,Duhail,Residence,1182,354.0
2024-05-28,Doha,Al Thumama 50,Vacant Land,541,281.0
2024-05-28,Doha,Najma,Residence,117,1057.0
2024-05-28,Doha,Al Thumama 50,Vacant Land,1112,234.0
2024-05-28,Doha,The Pearl Island,Residential Unit,151,1291.69
2024-05-28,Doha,Al Thumama 46,Residence,450,702.0
2024-05-28,Doha,Al Thumama 50,Vacant Land,1040,232.0
2024-05-28,Doha,Al Thumama 50,Vacant Land,1039,232.0
2024-05-28,Doha,Al Markhiya,Residence,1200,350.0
2024-05-27,Doha,Al Thumama 47,Vacant Land,684,365.0
2024-05-27,Doha,Fereej Bin Omran,Residence,178,679.0
2024-05-27,Doha,The Pearl Island,Residential Unit,344,970.86
2024-05-27,Doha,The Pearl Island,Residential Unit,81,2174.68
2024-05-27,Doha,Dahl Al Hamam,Residence,554,470.0
2024-05-27,Doha,Rawdat Al Khail,Residential Building,627,1482.0
2024-05-27,Doha,Al Thumama 46,Vacant Land,413,349.0
2024-05-27,Doha,The Pearl Island,Residential Unit,120,1484.17
2024-05-27,Doha,The Pearl Island,Residential Unit,85,1352.38
2024-05-27,Doha,The Pearl Island,Residential Unit,171,976.9
2024-05-26,Doha,Madinat Khalifa North,Residence,719,323.0
2024-05-26,Doha,Al Markhiya,Residence,1200,465.0
2024-05-26,Doha,Hazm Al Markhiya,Residence,885,472.0
2024-05-26,Doha,Al Markhiya,Residence,1200,426.0
2024-05-26,Doha,The Pearl Island,Residential Unit,158,1470.33
2024-05-23,Doha,Old Airport,Residence,500,595.0
2024-05-23,Doha,The Pearl Island,Residential Unit,172,1349.72
2024-05-23,Doha,The Pearl Island,Residential Unit,116,1434.55
2024-05-23,Doha,The Pearl Island,Residential Unit,174,1592.9
2024-05-23,Doha,The Pearl Island,Residential Unit,118,1406.08
2024-05-23,Doha,The Pearl Island,Residential Unit,188,1790.49
2024-05-23,Doha,The Pearl Island,Residential Unit,262,1163.03
2024-05-22,Doha,Al Thumama 47,Vacant Land,750,390.0
2024-05-22,Doha,The Pearl Island,Residential Unit,79,1685.76
2024-05-22,Doha,Nuaija 43,Residence,904,353.0
2024-05-22,Doha,Nuaija 41,Residence,709,786.0
2024-05-22,Doha,Al Maamoura 43,Residence,803,289.0
2024-05-22,Doha,The Pearl Island,Residential Unit,87,1589.35
2024-05-21,Doha,Al Thumama46,Residence,450,619.0
2024-05-21,Doha,Nuaija 44,Residence,509,548.0
2024-05-21,Doha,The Pearl Island,Residential Unit,118,1200.72
2024-05-21,Doha,Onaiza 65,Residence,875,364.0
2024-05-21,Doha,Al Thumama 50,Vacant Land,542,279.0
2024-05-20,Doha,Fereej Kulaib,Residence,1135,590.0
2024-05-20,Doha,The Pearl Island,Residential Unit,116,1464.61
2024-05-20,Doha,The Pearl Island,Residential Unit,87,1587.18
2024-05-20,Doha,Najma,Residence,216,1075.0
2024-05-20,Doha,Fereej Bin Derhem,Residential Building,3171,1051.0
2024-05-20,Doha,Fereej Bin Omran,Residential Building,526,1069.0
2024-05-20,Doha,The Pearl Island,Residential Unit,143,1721.75
2024-05-20,Doha,Fereej Bin Omran,Residence,330,535.0
2024-05-20,Doha,Rawdat Al Khail,Residential Building,784,1167.0
2024-05-20,Doha,Fereej Bin Mahmoud 22,Residential Building,455,1518.0
2024-05-20,Doha,The Pearl Island,Residential Unit,79,1764.8
2024-05-19,Doha,Onaiza65,Residence,883,397.0
2024-05-19,Doha,The Pearl Island,Residential Unit,77,1621.87
2024-05-19,Doha,Legtaifiya,Residential Unit,77,1321.86
2024-05-19,Doha,Al Hilal,Residence,727,502.0
2024-05-19,Doha,Al Mansoura,Residential Building,407,1826.0
2024-05-16,Doha,Hazm Al Markhiya,Residence,1013,394.0
2024-05-16,Doha,Al Mansoura,Residence,184,858.0
2024-05-16,Doha,The Pearl Island,Residential Unit,118,1109.27
2024-05-16,Doha,The Pearl Island,Residential Unit,128,1107.97
2024-05-16,Doha,Old Airport,Vacant Land,486,287.0
2024-05-16,Doha,Duhail,Vacant Land,1184,330.0
2024-05-16,Doha,The Pearl Island,Residential Unit,128,1176.53
2024-05-16,Doha,Al Thumama 50,Residence,564,626.0
2024-05-16,Doha,Nuaija 44,Residence,641,384.0
2024-05-16,Doha,The Pearl Island,Residential Unit,79,1379.61
2024-05-16,Doha,The Pearl Island,Residential Unit,229,973.23
2024-05-15,Doha,Al Mansoura,Residential Building,589,1735.0
2024-05-15,Doha,The Pearl Island,Residential Unit,264,1140.54
2024-05-15,Doha,The Pearl Island,Residential Unit,71,1566.88
2024-05-15,Doha,Al Markhiya,Residence,1149,243.0
2024-05-14,Doha,Al Thumama 50,Vacant Land,578,295.0
2024-05-14,Doha,Legtaifiya,Residential Unit,219,770.28
2024-05-14,Doha,The Pearl Island,Residential Unit,182,1221.07
2024-05-13,Doha,Old Airport,Residential Building,292,795.0
2024-05-13,Doha,The Pearl Island,Residential Unit,128,1369.08
2024-05-13,Doha,Al Maamoura 43,Vacant Land,1200,286.0
2024-05-13,Doha,The Pearl Island,Residential Unit,128,1441.14
2024-05-13,Doha,The Pearl Island,Residential Unit,57,1753.81
2024-05-12,Doha,Old Airport,Residence,900,413.0
2024-05-12,Doha,Old Airport,Vacant Land,482,693.0
2024-05-12,Doha,Al Maamoura 43,Apartment Complex,3359,332.0
2024-05-09,Doha,Al Messila,Residence,523,493.0
2024-05-09,Doha,The Pearl Island,Residential Unit,297,940.84
2024-05-09,Doha,The Pearl Island,Residential Unit,106,1228.63
2024-05-09,Doha,The Pearl Island,Residential Unit,134,1480.44
2024-05-09,Doha,Al Mansoura,Building Complex,7541,1392.0
2024-05-08,Doha,The Pearl Island,Residential Unit,151,2368.09
2024-05-08,Doha,The Pearl Island,Residential Unit,189,1053.93
2024-05-08,Doha,The Pearl Island,Residential Unit,174,1172.48
2024-05-08,Doha,Al Jebailat,Vacant Land,900,420.0
2024-05-08,Doha,Al Thumama 50,Residence,577,628.0
2024-05-08,Doha,The Pearl Island,Residential Unit,142,978.27
2024-05-07,Doha,Nuaija 42,Vacant Land,889,315.0
2024-05-07,Doha,Nuaija 43,Vacant Land,1000,315.0
2024-05-07,Doha,The Pearl Island,Residential Unit,128,1369.08
2024-05-07,Doha,Nuaija 44,Vacant Land,1000,315.0
2024-05-07,Doha,The Pearl Island,Residential Unit,175,1124.45
2024-05-06,Doha,Fereej Bin Omran,Vacant Land,1516,552.0
2024-05-06,Doha,Umm Lekhba,Vacant Land,13430,280.0
2024-05-06,Doha,Hazm Al Markhiya,Residence,1225,349.0
2024-05-06,Doha,Madinat Khalifa North,Residence,595,515.0
2024-05-06,Doha,Duhail,Vacant Land,1716,280.0
2024-05-06,Doha,Fereej Bin Omran,Vacant Land,178,522.0
2024-05-05,Doha,Nuaija 44,Residence,894,520.0
2024-05-05,Doha,The Pearl Island,Residential Unit,120,1243.72
2024-05-02,Doha,New Slata,Vacant Land,1377,315.0
2024-05-02,Doha,The Pearl Island,Residential Unit,189,978.7
2024-05-02,Doha,Nuaija  41,Residence,986,565.0
2024-05-02,Doha,Al Mansoura,Residence,184,833.0
2024-05-02,Doha,Najma,Residence,225,1050.0
2024-05-02,Doha,The Pearl Island,Residential Unit,158,1376.73
2024-05-02,Doha,The Pearl Island,Residential Unit,142,1472.51
2024-05-02,Doha,The Pearl Island,Residential Unit,317,1066.71
2024-05-02,Doha,The Pearl Island,Residential Unit,134,1270.17
2024-05-01,Doha,Msheireb 13,Residential Building,652,2850.0
2024-05-01,Doha,Fereej Bin Mahmoud 22,Residence,1345,1167.0
2024-05-01,Doha,Al Dafna  60,Residential Unit,154,1440.0
2024-05-01,Doha,Fereej Bin Mahmoud  22,Residence,255,1220.0
2024-05-01,Doha,The Pearl Island,Residential Unit,262,1346.47
2024-05-01,Doha,Onaiza  66,Residence,875,356.0
2024-05-01,Doha,Old Airport,Residence,545,550.0
2024-05-01,Doha,Al Doha Al Jadeedah,Residential Building,291,1277.0
2024-05-01,Doha,Al Dafna  60,Residential Unit,154,1421.42
2024-05-01,Doha,Al Dafna  60,Residential Unit,186,1430.71
2024-05-01,Doha,Al Dafna  60,Residential Unit,148,1440.0
2024-05-01,Doha,Legtaifiya,Residential Unit,83,1118.77
2024-04-29,Doha,Old Airport,Vacant Land,1125,330.0
2024-04-29,Doha,Fereej Bin Omran,Vacant Land,507,733.0
2024-04-29,Doha,The Pearl Island,Residential Unit,158,1552.01
2024-04-29,Doha,The Pearl Island,Residential Unit,150,1018.27
2024-04-29,Doha,The Pearl Island,Residential Unit,79,1500.14
2024-04-29,Doha,The Pearl Island,Residential Unit,233,1570.92
2024-04-29,Doha,Fereej Bin Omran,Residential Building,486,755.0
2024-04-29,Doha,The Pearl Island,Residential Unit,96,1325.81
2024-04-28,Doha,Al Jebailat,Residence,1225,379.0
2024-04-28,Doha,Old Airport,Residence,376,526.0
2024-04-28,Doha,Umm Ghuwailina,Residence,146,800.0
2024-04-28,Doha,The Pearl Island,Residential Unit,212,959.83
2024-04-28,Doha,The Pearl Island,Residential Unit,129,1324.5
2024-04-25,Doha,Fereej Bin Mahmoud 22,Residential Building,827,1460.0
2024-04-25,Doha,The Pearl Island,Residential Unit,130,1071.79
2024-04-25,Doha,The Pearl Island,Residential Unit,136,1348.77
2024-04-25,Doha,The Pearl Island,Residential Unit,155,1318.37
2024-04-25,Doha,Umm Ghuwailina,Residential Building,401,1668.0
2024-04-25,Doha,The Pearl Island,Residential Unit,146,888.3
2024-04-25,Doha,The Pearl Island,Residential Unit,158,1404.96
2024-04-25,Doha,The Pearl Island,Residential Unit,120,1251.18
2024-04-24,Doha,The Pearl Island,Residential Unit,183,1234.25
2024-04-24,Doha,The Pearl Island,Residential Unit,109,1269.38
2024-04-24,Doha,The Pearl Island,Residential Unit,77,1785.46
2024-04-23,Doha,The Pearl Island,Residence,1256,2182.0
2024-04-17,Doha,Fereej Bin Mahmoud 22,Residence,371,1277.0
2024-04-17,Doha,Legtaifiya,Residence,1225,478.0
2024-04-17,Doha,Umm Lekhba,Residence,449,569.0
2024-04-04,Doha,The Pearl Island,Residential Unit,156,1100.89
2024-04-04,Doha,Legtaifiya,Residence,1225,384.0
2024-04-04,Doha,Legtaifiya,Residence,1434,384.0
2024-04-04,Doha,Nuaija 43,Residence,505,442.0
2024-04-04,Doha,Fereej Abdel Aziz,Residential Building,648,2652.0
2024-04-04,Doha,The Pearl Island,Residential Unit,59,1724.78
2024-04-04,Doha,Madinat Khalifa South,Residence,2010,326.0
2024-04-04,Doha,Legtaifiya,Vacant Land,4524,500.0
2024-04-04,Doha,The Pearl Island,Residential Unit,57,1728.47
2024-04-04,Doha,Legtaifiya,Residential Unit,136,1052.63
2024-04-04,Doha,Al Jebailat,Residence,1225,379.0
2024-04-04,Doha,Nuaija 41,Residence,628,1036.0
2024-04-04,Doha,Legtaifiya,Vacant Land,3128,891.0
2024-04-04,Doha,Al Thumama 46,Residence,450,444.0
2024-04-03,Doha,The Pearl Island,Residential Unit,128,1441.14
2024-04-03,Doha,The Pearl Island,Residential Unit,128,1243.13
2024-04-03,Doha,The Pearl Island,Residential Unit,153,1264.71
2024-04-03,Doha,The Pearl Island,Residential Unit,118,1245.92
2024-04-03,Doha,The Pearl Island,Residential Unit,192,1305.34
2024-04-03,Doha,Al Thumama 50,Vacant Land,883,240.0
2024-04-03,Doha,Old Airport,Residential Building,1148,1497.0
2024-04-03,Doha,Fereej Bin Omran,Residential Building,920,1868.0
2024-04-02,Doha,Al Thumama 47,Residence,1086,299.0
2024-04-02,Doha,Nuaija 41,Vacant Land,1899,391.0
2024-04-02,Doha,Old Airport,Residential Building,625,1115.0
2024-04-02,Doha,Nuaija 44,Vacant Land,902,330.0
2024-04-02,Doha,Nuaija 44,Vacant Land,881,337.0
2024-04-02,Doha,Legtaifiya,Vacant Land,5868,396.0
2024-04-01,Doha,The Pearl Island,Residential Unit,76,1903.02
2024-04-01,Doha,The Pearl Island,Residential Unit,141,1007.03
2024-04-01,Doha,Old Airport,Residence,528,633.0
2024-04-01,Doha,The Pearl Island,Residential Unit,264,1253.93
2024-03-31,Doha,Al Thumama 46,Vacant Land,414,381.0
2024-03-31,Doha,Dahl Al Hamam,Residence,1173,396.0
2024-03-31,Doha,Nuaija 41,Residence,628,1036.0
2024-03-31,Doha,Al Thumama 46,Residence,537,519.0
2024-03-31,Doha,Barahat Al Jufairi,Residence,470,692.0
2024-03-28,Doha,Nuaija 44,Vacant Land,556,526.0
2024-03-28,Doha,The Pearl Island,Residential Unit,134,1270.17
2024-03-28,Doha,Al Mansoura,Residence,115,565.0
2024-03-28,Doha,The Pearl Island,Residential Unit,133,1110.7
2024-03-28,Doha,Madinat Khalifa North,Residence,751,452.0
2024-03-28,Doha,The Pearl Island,Residential Unit,219,805.49
2024-03-28,Doha,The Pearl Island,Residential Unit,145,1151.77
2024-03-27,Doha,The Pearl Island,Residential Unit,312,1207.74
2024-03-26,Doha,Old Airport,Vacant Land,885,315.0
2024-03-26,Doha,The Pearl Island,Residential Unit,213,1002.38
2024-03-26,Doha,The Pearl Island,Residential Unit,231,1244.22
2024-03-26,Doha,Fereej Bin Omran,Vacant Land,403,542.0
2024-03-25,Doha,Fereej Kulaib,Residence,1080,502.0
2024-03-25,Doha,The Pearl Island,Residential Unit,79,1587.58
2024-03-24,Doha,Madinat Khalifa North,Shops,742,2254.0
2024-03-24,Doha,Legtaifiya,Residence,1645,683.0
2024-03-24,Doha,Al Thumama 50,Vacant Land,528,282.0
2024-03-24,Doha,The Pearl Island,Residential Unit,262,1242.75
2024-03-24,Doha,The Pearl Island,Residential Unit,214,1105.99
2024-03-21,Doha,Al Thumama 46,Residence,450,444.0
2024-03-21,Doha,Al Kharayej,Residential Unit,106,962.0
2024-03-20,Doha,Umm Lekhba,Vacant Land,440,443.0
2024-03-20,Doha,Al Thumama 46,Residence,420,520.0
2024-03-20,Doha,Al Dafna 60,Residential Unit,170,1440.0
2024-03-20,Doha,Old Airport,Residence,434,642.0
2024-03-20,Doha,New Slata,Residence,557,400.0
2024-03-20,Doha,The Pearl Island,Residential Unit,297,1203.97
2024-03-20,Doha,The Pearl Island,Residential Unit,79,1627.63
2024-03-20,Doha,Fereej Kulaib,Residential Building,1857,1183.0
2024-03-20,Doha,Al Dafna 60,Residential Unit,153,1421.42
2024-03-20,Doha,Al Dafna 60,Residential Unit,153,1440.0
2024-03-19,Doha,Fereej Bin Omran,Residential Building,526,865.0
2024-03-19,Doha,Old Airport,Residence,478,359.0
2024-03-19,Doha,Madinat Khalifa South,Residence,589,432.0
2024-03-18,Doha,Fereej Bin Omran,Residential Building,951,1827.0
2024-03-18,Doha,The Pearl Island,Residential Unit,158,1541.11
2024-03-18,Doha,Nuaija 43,Residence,452,493.0
2024-03-17,Doha,Jeryan Najima,Vacant Land,1120,377.0
2024-03-17,Doha,Hazm Al Markhiya,Residence,880,876.0
2024-03-17,Doha,The Pearl Island,Residential Unit,147,884.79
2024-03-17,Doha,The Pearl Island,Residential Unit,141,1182.64
2024-03-14,Doha,Duhail,Residence,1080,335.0
2024-03-13,Doha,Al Mansoura 43,Vacant Land,805,289.0
2024-03-13,Doha,Al Mansoura,Residential Building,1032,2971.0
2024-03-13,Doha,Onaiza 66,Residence,875,361.0
2024-03-13,Doha,Fereej Bin Omran,Residence,788,354.0
2024-03-13,Doha,The Pearl Island,Residential Unit,96,1348.48
2024-03-13,Doha,Al Maamoura 43,Residence,797,291.0
2024-03-12,Doha,Al Matar Al Qadeem,Residence,439,508.0
2024-03-12,Doha,The Pearl Island,Residential Unit,114,1282.68
2024-03-11,Doha,Fereej Bin Mahmoud 22,Residence,255,1013.0
2024-03-11,Doha,Al Thumama 47,Residence,367,658.0
2024-03-10,Doha,Hazm Al Markhiya,Residence,882,505.0
2024-03-10,Doha,The Pearl Island,Residential Unit,538,1046.73
2024-03-10,Doha,Fereej Bin Omran,Residential Building,573,697.0
2024-03-10,Doha,The Pearl Island,Residential Unit,147,921.39
2024-03-10,Doha,New Al Hitmi,Residence,501,464.0
2024-03-10,Doha,Fereej Bin Mahmoud 22,Residence,255,710.0
2024-03-10,Doha,Al Messila,Residence,542,634.0
2024-03-10,Doha,The Pearl Island,Residential Unit,118,1452.1
2024-03-07,Doha,Madinat Khalifa South,Residential Building,353,1421.0
2024-03-07,Doha,The Pearl Island,Residential Unit,54,1624.18
2024-03-07,Doha,The Pearl Island,Residential Unit,118,1179.18
2024-03-07,Doha,Madinat Khalifa North,Residence,758,319.0
2024-03-07,Doha,Old Airport,Residence,704,317.0
2024-03-07,Doha,Umm Ghuwailina,Residence,165,1070.0
2024-03-07,Doha,The Pearl Island,Residential Unit,223,1272.53
2024-03-06,Doha,Umm Lekhba,Residence,510,546.0
2024-03-06,Doha,The Pearl Island,Residential Unit,229,1010.17
2024-03-06,Doha,Old Airport,Residential Building,479,679.0
2024-03-06,Doha,Nuaija 43,Residence,505,405.0
2024-03-06,Doha,New Slata,Residence,607,612.0
2024-03-06,Doha,Legtaifiya,Residential Unit,137,967.53
2024-03-06,Doha,The Pearl Island,Residential Unit,256,1160.7
2024-03-06,Doha,Nuaija 44,Residence,631,412.0
2024-03-06,Doha,The Pearl Island,Residential Unit,114,2032.53
2024-03-06,Doha,The Pearl Island,Residential Unit,221,1257.12
2024-03-05,Doha,Hazm Al Markhiya,Residence,1418,481.0
2024-03-05,Doha,Madinat Khalifa South,Residence,374,450.0
2024-03-05,Doha,The Pearl Island,Residential Unit,325,1298.88
2024-03-05,Doha,The Pearl Island,Residential Unit,76,1728.3
2024-03-04,Doha,Umm Ghuwailina,Residential Building,441,1475.0
2024-03-04,Doha,Legtaifiya,Residence,1225,485.0
2024-03-04,Doha,Fereej Bin Mahmoud 22,Vacant Land,138,1077.0
2024-03-04,Doha,Onaiza 65,Residence,881,981.0
2024-03-04,Doha,The Pearl Island,Residential Unit,79,1586.44
2024-03-03,Doha,Madinat Khalifa South,Residential Building,1262,1375.0
2024-03-03,Doha,Madinat Khalifa South,Vacant Land,434,664.0
2024-03-03,Doha,Legtaifiya,Residential Unit,82,1072.39
2024-03-03,Doha,Madinat Khalifa South,Residential Building,1503,1375.0
2024-03-03,Doha,Umm Lekhba,Residence,870,448.0
2024-02-29,Doha,Madinat Khalifa North,Residence,744,561.914
2024-02-29,Doha,The Pearl Island,Residential Unit,264,1123.16
2024-02-29,Doha,Al Sadd 39,Residential Building,760,1100.169
2024-02-29,Doha,Al Thumama 47,Residence,738,468.292
2024-02-29,Doha,Duhail,Residence,679,711.482
2024-02-29,Doha,Al Maamoura 43,Residence,787,472.189
2024-02-28,Doha,Legtaifiya,Residence,1575,953.216
2024-02-28,Doha,Umm Ghuwailina,Residential Building,343,1489.7
2024-02-28,Doha,The Pearl Island,Residential Unit,195,1470.81
2024-02-28,Doha,The Pearl Island,Residential Unit,114,1737.81
2024-02-28,Doha,The Pearl Island,Residential Unit,79,1758.1
2024-02-28,Doha,Najma,Residence,136,1093.0
2024-02-28,Doha,Al Mansoura,Residence,1319,827.606
2024-02-28,Doha,The Pearl Island,Residential Unit,141,1489.31
2024-02-28,Doha,The Pearl Island,Residential Unit,62,1487.88
2024-02-28,Doha,The Pearl Island,Residential Unit,118,1650.56
2024-02-28,Doha,The Pearl Island,Residential Unit,142,976.49
2024-02-28,Doha,The Pearl Island,Residential Unit,176,1257.58
2024-02-28,Doha,The Pearl Island,Residential Unit,571,1113.83
2024-02-28,Doha,The Pearl Island,Residential Unit,175,1351.03
2024-02-28,Doha,Najma,Residence,191,1063.0
2024-02-28,Doha,The Pearl Island,Residential Unit,158,1170.8
2024-02-27,Doha,Old Airport,Residential Building,588,1263.988
2024-02-27,Doha,Al Dafna 60,Residential Unit,184,1421.42
2024-02-27,Doha,Al Dafna 60,Residential Unit,184,1440.0
2024-02-27,Doha,Al Dafna 60,Residential Unit,184,1440.0
2024-02-27,Doha,Al Dafna 60,Residential Unit,185,1412.13
2024-02-27,Doha,Al Dafna 60,Residential Unit,148,1412.13
2024-02-27,Doha,Al Dafna 60,Residential Unit,154,1412.13
2024-02-27,Doha,Al Dafna 60,Residential Unit,186,1412.13
2024-02-27,Doha,Nuaija 44,Residence,631,345.994
2024-02-27,Doha,The Pearl Island,Residential Unit,188,1789.54
2024-02-27,Doha,Al Dafna 60,Residential Unit,153,1421.42
2024-02-27,Doha,Al Dafna 60,Residential Unit,3286,975.48
2024-02-27,Doha,The Pearl Island,Residential Unit,174,1214.63
2024-02-27,Doha,The Pearl Island,Residential Unit,87,1345.65
2024-02-27,Doha,The Pearl Island,Residential Unit,150,800.41
2024-02-27,Doha,The Pearl Island,Residential Unit,150,1357.42
2024-02-27,Doha,Najma,Residence,146,1066.0
2024-02-27,Doha,The Pearl Island,Residential Unit,74,1870.78
2024-02-27,Doha,Al Dafna 60,Residential Unit,153,1421.42
2024-02-27,Doha,Al Dafna 60,Residential Unit,154,1412.13
2024-02-26,Doha,Legtaifiya,Residential Unit,138,937.26
2024-02-26,Doha,Old Airport,Residential Building,371,1176.94
2024-02-26,Doha,Onaiza 65,Residence,888,836.965
2024-02-26,Doha,Nuaija 44,Residence,641,340.596
2024-02-26,Doha,Najma,Residence,191,1063.0
2024-02-26,Doha,Onaiza 65,Residence,1223,531.743
2024-02-26,Doha,Najma,Residence,145,1073.0
2024-02-25,Doha,Old Al Ghanim 16,Residence,438,530.269
2024-02-25,Doha,Msheireb 13,Residence,1089,1194.347
2024-02-25,Doha,Hazm Al Markhiya,Residence,1225,390.572
2024-02-25,Doha,Old Airport,Residential Building,2520,884.792
2024-02-25,Doha,The Pearl Island,Residential Unit,79,1402.06
2024-02-25,Doha,The Pearl Island,Residential Unit,182,1172.37
2024-02-22,Doha,Nuaija 43,Vacant Land,623,290.788
2024-02-22,Doha,The Pearl Island,Residential Unit,71,1438.33
2024-02-22,Doha,Al Messila,Residential Building,637,1402.012
2024-02-22,Doha,The Pearl Island,Residential Unit,143,1747.1
2024-02-22,Doha,The Pearl Island,Residential Unit,135,1581.04
2024-02-22,Doha,Al Jebailat,Residence,446,550.018
2024-02-22,Doha,Nuaija 44,Residence,397,585.032
2024-02-21,Doha,Fereej Bin Mahmoud 22,Residential Building,316,2219.679
2024-02-21,Doha,Nuaija 44,Residence,556,651.659
2024-02-21,Doha,New Slata,Residence,905,349.028
2024-02-21,Doha,Al Thumama 46,Vacant Land,558,299.688
2024-02-20,Doha,The Pearl Island,Residential Unit,91,1218.43
2024-02-20,Doha,The Pearl Island,Residential Unit,158,1487.61
2024-02-20,Doha,The Pearl Island,Residential Unit,121,1647.51
2024-02-20,Doha,Onaiza 65,Residence,1225,379.196
2024-02-20,Doha,Al Thumama 47,Residence,1200,350.012
2024-02-20,Doha,The Pearl Island,Residential Unit,124,1101.82
2024-02-20,Doha,The Pearl Island,Residential Unit,159,1476.33
2024-02-20,Doha,The Pearl Island,Residential Unit,58,1422.95
2024-02-20,Doha,The Pearl Island,Residential Unit,141,1200.26
2024-02-19,Doha,The Pearl Island,Residential Unit,135,1272.55
2024-02-19,Doha,Al Kharayej,Residential Unit,104,935.89
2024-02-19,Doha,Old Airport,Residential Building and Shops,554,1157.097
2024-02-19,Doha,Al Mirqab,Commercial Building,1000,12541.923
2024-02-19,Doha,Old Airport,Residential Building,371,1014.172
2024-02-19,Doha,New Slata,Residence,450,454.193
2024-02-19,Doha,The Pearl Island,Residential Unit,129,1357.07
2024-02-18,Doha,Al Thumama 50,Residential Unit,563,281.72
2024-02-18,Doha,The Pearl Island,Residential Unit,227,570.96
2024-02-18,Doha,Al Thumama 50,Residential Unit,565,280.99
2024-02-18,Doha,Al Thumama 50,Residential Unit,564,281.42
2024-02-18,Doha,The Pearl Island,Residential Unit,79,1743.89
2024-02-18,Doha,Al Thumama 50,Residential Unit,566,280.2
2024-02-18,Doha,Al Thumama 50,Residential Unit,558,284.64
2024-02-18,Doha,Al Thumama 50,Residential Unit,561,283.16
2024-02-18,Doha,The Pearl Island,Residential Unit,194,1003.74
2024-02-15,Doha,Al Sadd39,Vacant Land,517,610.968
2024-02-15,Doha,uaija43,Residence,480,474.193
2024-02-15,Doha,Onaiza 65,Residence,875,392.848
2024-02-14,Doha,Old Airport,Residence,212,613.511
2024-02-14,Doha,Madinat Khalifa North,Residence,595,312.279
2024-02-14,Doha,New Slata,Residence,432,473.118
2024-02-14,Doha,The Pearl Island,Residential Unit,174,1385.1
2024-02-14,Doha,Legtaifiya,Residence,1592,997.686
2024-02-14,Doha,The Pearl Island,Residential Unit,120,1469.74
2024-02-12,Doha,The Pearl Island,Residential Unit,79,1635.82
2024-02-12,Doha,The Pearl Island,Residential Unit,76,1760.96
2024-02-12,Doha,The Pearl Island,Residential Unit,171,1100.52
2024-02-12,Doha,Old Airport,Residence,97,593.814
2024-02-12,Doha,Al Thumama46,Vacant Land,450,379.871
2024-02-12,Doha,Al Thumama47,Residence,1199,356.981
2024-02-12,Doha,Al Thumama50,Residence,450,670.967
2024-02-12,Doha,The Pearl Island,Residential Unit,344,1132.67
2024-02-11,Doha,Umm Ghuwailina,Residential Building,421,882.69
2024-02-11,Doha,Old Airport,Vacant Land,350,315.011
2024-02-11,Doha,The Pearl Island,Residential Unit,175,1589.44
2024-02-11,Doha,Old Airport,Residence,354,432.069
2024-02-11,Doha,The Pearl Island,Residential Unit,264,913.52
2024-02-11,Doha,Old Airport,Vacant Land,332,315.011
2024-02-11,Doha,Old Airport,Residence,371,432.069
2024-02-11,Doha,Old Airport,Vacant Land,353,315.011
2024-02-11,Doha,The Pearl Island,Residential Unit,87,1378.86
2024-02-11,Doha,The Pearl Island,Residential Unit,87,1324.46
2024-02-08,Doha,Madinat Khalifa South,Residence,898,434.514
2024-02-08,Doha,Nuaija 43,Residence,909,367.933
2024-02-07,Doha,Old Airport,Residence,529,439.051
2024-02-07,Doha,The Pearl Island,Residential Unit,147,947.02
2024-02-07,Doha,Nuaija 41,Residence,425,432.069
2024-02-07,Doha,The Pearl Island,Residential Unit,57,1948.67
2024-02-07,Doha,Fereej Bin Omran,Residential Building,407,1141.316
2024-02-07,Doha,The Pearl Island,Residential Unit,58,1576.77
2024-02-06,Doha,Umm Ghuwailina,Residence,79,881.992
2024-02-06,Doha,The Pearl Island,Residential Unit,204,1068.74
2024-02-06,Doha,The Pearl Island,Residential Unit,79,1696.92
